,index,man_screentime,woman_screentime,only_men,only_women,asian_screentime,black_screentime,indian_screentime,latino_hispanic_screentime,middle_eastern_screentime,white_screentime,women_of_color,total_frames,total_seconds,total_faces,total_men,total_women,total_women_of_color,only_men_count,only_women_count,total_Man,total_Woman,total_asian,total_black,total_indian,total_latino_hispanic,total_middle_eastern,total_white,title,year,revenue,runtime
0,0,97.765617875057,2.2343821249430005,96.15384615384616,2.354788069073784,3.009575923392613,1.0031919744642042,3.2375740994072046,5.88235294117647,6.429548563611491,80.43775649794802,0.0,1274,637.0,2193.0,2144.0,49.0,0,1225,30,2144.0,49.0,66.0,22.0,71.0,129.0,141.0,1764.0,The_Cabinet_of_Dr._Caligari_(1920),1920-01-01,8811,77
1,0,94.10150891632372,5.8984910836762685,91.47670961347868,5.946481665014866,4.183813443072702,0.411522633744856,2.05761316872428,2.263374485596708,4.595336076817558,86.48834019204389,0.1982160555004955,1009,504.5,1458.0,1372.0,86.0,2,923,60,1372.0,86.0,61.0,6.0,30.0,33.0,67.0,1261.0,The_Hunchback_of_Notre_Dame_(1923),1923-01-01,0,113
2,0,96.30471859010802,3.695281409891984,90.7079646017699,6.342182890855458,2.1034678794769754,7.220011370096646,2.6151222285389424,4.206935758953951,2.7288231949971573,81.12563956793633,0.1474926253687315,678,339.0,1759.0,1694.0,65.0,1,615,43,1694.0,65.0,37.0,127.0,46.0,74.0,48.0,1427.0,The_Lost_World_(1925),1925-01-01,0,93
3,0,93.62694300518136,6.373056994818653,90.09661835748793,6.843800322061192,3.056994818652849,1.0362694300518136,2.0207253886010363,4.455958549222798,8.290155440414509,81.139896373057,0.2415458937198067,1242,621.0,1930.0,1807.0,123.0,3,1119,85,1807.0,123.0,59.0,20.0,39.0,86.0,160.0,1566.0,Frankenstein_(1931),1931-01-01,12000000,71
4,0,90.57873485868102,9.421265141318976,87.8999418266434,8.26061663757999,2.781516375056079,2.1982951996410947,3.095558546433378,4.665769403319874,5.204127411395245,82.05473306415433,0.3490401396160558,1719,859.5,2229.0,2019.0,210.0,6,1511,142,2019.0,210.0,62.0,49.0,69.0,104.0,116.0,1829.0,Dr._Jekyll_and_Mr._Hyde_(1931),1931-01-01,1300000,98
5,0,82.36686390532545,17.633136094674555,79.8913043478261,13.179347826086955,1.7751479289940828,2.366863905325444,2.9585798816568047,5.325443786982249,1.183431952662722,86.3905325443787,0.0,736,368.0,845.0,696.0,149.0,0,588,97,696.0,149.0,15.0,20.0,25.0,45.0,10.0,730.0,White_Zombie_(1932),1932-01-01,0,67
6,0,96.7395331604298,3.260466839570211,95.6968215158924,1.7603911980440097,4.0385327899221934,1.6672841793256763,2.1859948128936644,4.742497221193035,16.08002964060763,71.2856613560578,0.1955990220048899,2045,1022.5,2699.0,2611.0,88.0,4,1957,36,2611.0,88.0,109.0,45.0,59.0,128.0,434.0,1924.0,Son_of_Frankenstein_(1939),1939-01-01,0,99
7,0,90.47388781431334,9.526112185686657,86.66191155492155,5.991440798858773,4.013539651837524,0.918762088974855,1.160541586073501,6.72147001934236,3.3849129593810443,83.80077369439071,0.4992867332382311,1402,701.0,2068.0,1871.0,197.0,7,1215,84,1871.0,197.0,83.0,19.0,24.0,139.0,70.0,1733.0,The_Wolf_Man_(1941),1941-01-01,0,70
8,0,95.72107765451663,4.27892234548336,94.0649496080627,3.023516237402016,5.942947702060222,4.3581616481774965,1.664025356576862,5.625990491283677,7.210776545166403,75.19809825673535,0.1119820828667413,893,446.5,1262.0,1208.0,54.0,1,840,27,1208.0,54.0,75.0,55.0,21.0,71.0,91.0,949.0,The_Mummy's_Tomb_(1942),1942-01-01,0,61
9,0,96.2665736217725,3.7334263782274943,94.48777951118043,2.6001040041601664,2.128401953942777,0.5931612002791348,0.418702023726448,6.66434054431263,8.199581297976273,81.99581297976273,0.0,1923,961.5,2866.0,2759.0,107.0,0,1817,50,2759.0,107.0,61.0,17.0,12.0,191.0,235.0,2350.0,Abbott_and_Costello_Meet_Frankenstein_(1948),1948-01-01,4812444,83
10,0,94.0082240062659,5.991775993734091,86.3677130044843,6.591928251121076,5.208537301742706,4.993146661445076,9.59467397689446,11.454865870373997,9.203054630898766,59.54572155864499,0.9865470852017936,2230,1115.0,5107.0,4801.0,306.0,22,1926,147,4801.0,306.0,266.0,255.0,490.0,585.0,470.0,3041.0,Anne_of_the_Indies_(1951),1951-01-01,0,81
11,0,86.90362595419847,13.096374045801523,77.51776013372336,13.873798579189303,4.627862595419847,1.8368320610687023,1.717557251908397,9.446564885496183,17.36641221374046,65.00477099236642,3.4266610948600085,2393,1196.5,4192.0,3643.0,549.0,82,1855,332,3643.0,549.0,194.0,77.0,72.0,396.0,728.0,2725.0,Roman_Holiday_(1953),1953-01-01,12000000,119
12,0,92.057761732852,7.9422382671480145,88.32,7.946666666666667,4.043321299638989,1.84115523465704,3.9711191335740073,10.252707581227437,10.180505415162456,69.71119133574007,0.4266666666666667,1875,937.5,2770.0,2550.0,220.0,8,1656,149,2550.0,220.0,112.0,51.0,110.0,284.0,282.0,1931.0,Abbott_and_Costello_Meet_the_Mummy_(1955),1955-01-01,0,79
13,0,96.5615141955836,3.438485804416404,93.87296233839236,1.011804384485666,7.034700315457414,11.009463722397475,4.73186119873817,18.86435331230284,5.141955835962145,53.217665615141954,1.2366498032602586,1779,889.5,3170.0,3061.0,109.0,22,1670,18,3061.0,109.0,223.0,349.0,150.0,598.0,163.0,1687.0,This_Island_Earth_(1955),1955-01-01,1700000,87
